acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,crash
0.005,0.0,0.028,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.083,0.0,1.004,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.008,0.0,1.028,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,0.0,1.125,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.07,0.0,1.125,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.188,0.0,1.125,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.005,0.0,0.023,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.18,0.0,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.173,0.0,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.005,0.0,0.023,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,-0.083,1.034,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,-0.134,1.059,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.141,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.117,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.004,0.0,0.026,2e-05,0.0,1e-05,yes
-0.08,-0.03,1.066,0.00104,0.0002,0.00038,yes
-0.086,0.018,1.068,0.00137,-8e-05,0.00042,yes
-0.067,0.111,1.112,1e-05,0.0,2e-05,yes
0.178,0.078,0.984,1e-05,-1e-05,3e-05,yes
0.324,0.036,0.879,1e-05,0.0,3e-05,yes
-0.398,-0.04,1.085,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.101,0.184,1.137,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.114,-0.065,0.928,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.318,0.033,1.668,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.147,0.158,1.508,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.011,0.021,1.326,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.047,0.14,1.047,-9.76563,-1.95313,0.0,yes
-0.187,-0.047,1.234,-7.8125,-9.76563,1.95313,yes
-0.327,0.0,1.42,0.0,0.0,0.0,yes
0.022,0.088,1.022,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.028,0.097,1.012,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.07,0.093,1.029,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.047,-0.187,1.0,0.0,0.0,1.95313,yes
0.047,-0.28,1.093,-3.90625,0.0,0.0,yes
-0.187,-0.374,1.0,0.0,0.0,0.0,yes
-0.092,0.483,0.854,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.055,0.513,0.851,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.005,0.521,0.885,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,-0.093,1.0,0.0,-1.95313,0.0,yes
0.093,0.0,1.0,0.0,-1.95313,0.0,yes
0.0,-0.047,1.0,0.0,0.0,0.0,yes
-0.0,-0.002,0.998,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.039,0.027,1.0,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.118,0.027,1.0,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.449,-0.258,2.233,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.359,-0.341,2.229,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.452,-0.278,2.225,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.037,-0.082,1.007,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.037,-0.082,1.007,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.037,-0.082,1.007,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.475,-0.091,2.245,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.502,-0.294,2.195,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.533,-0.141,2.196,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.119,-0.077,0.992,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.11,-0.075,1.005,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.11,-0.075,1.005,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.502,-0.064,2.241,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.504,-0.084,2.188,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.611,0.003,2.265,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.071,-0.051,1.013,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.079,-0.053,1.0,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.071,-0.051,1.013,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.371,-0.344,2.191,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.354,-0.398,2.206,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.387,-0.267,2.192,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.019,-0.092,1.004,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.019,-0.092,1.004,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.031,-0.084,1.011,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.14,-0.187,1.047,0.0,1.95313,0.0,yes
-0.047,-0.14,0.907,0.0,-1.95313,0.0,yes
0.0,-0.047,0.813,0.0,0.0,0.0,yes
-0.283,-0.0,0.953,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.281,-0.0,0.953,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.28,0.0,0.973,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.093,-0.14,1.0,1.95313,1.95313,1.95313,yes
-0.093,-0.047,1.047,0.0,0.0,1.95313,yes
0.093,-0.093,0.953,0.0,0.0,1.95313,yes
-0.121,-0.035,1.147,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.129,-0.039,1.143,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.13,0.006,1.137,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.001,0.0,0.026,2e-05,1e-05,-2e-05,yes
0.044,-0.019,1.056,0.00065,0.00029,-0.0009,yes
0.075,-0.062,1.032,0.0005,5e-05,-0.00086,yes
-0.008,-0.004,1.026,1e-05,-0.0,-1e-05,yes
-0.041,-0.023,1.011,1e-05,0.0,-1e-05,yes
-0.081,-0.036,1.036,1e-05,0.0,-1e-05,yes
0.128,0.128,1.056,0.0,0.0,3.90625,yes
0.064,0.096,0.992,0.0,0.0,3.90625,yes
0.128,0.064,1.024,0.0,0.0,3.90625,yes
-0.1,-0.009,0.941,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.098,-0.144,0.854,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
